Cert Number,Card Ladder Value
131502566,29.84
58933482,20.86
93356192,60.64
100726572,30.32
119963525,34.18
126995419,32.91
125329997,24.90
96982740,32.97
74889920,30.32
121694487,30.32
61642696,29.26
124723501,34.18
133403599,30.32
65550303,60.64
28669035,30.32
56532234,44.57
63885823,18.65
121228587,99.72
88208093,60.64
57310911,30.90
106136673,1212.71
127736307,66.69
50369455,119.35
58905223,30.32
89951117,121.27
108355835,30.32
122450476,30.32
132917230,30.56
114792252,20.78
74886463,33.81
67309595,30.32
65410334,32.31
108117011,30.32
126035626,32.91
128431683,32.91
26585262,31.45
127605374,30.32
83332548,24.45
84404557,60.64
129373690,29.95
101479096,32.91
133961349,32.31
123750972,30.32
127406825,30.32
125178012,30.32
98812501,60.64
84506950,60.64
133164017,61.13
100600171,60.64
127655083,127.71
125713777,32.91
55963111,121.27
124681320,30.32
127413864,33.89
75138743,121.27
125844228,65.82
51924005,59.67
127509295,27.44
129169740,30.43
127874392,29.54
114614122,168.40
66224698,29.90
124706939,19.55
129325524,23.37
53298147,19.56
126557272,29.54
41724305,24.20
118425149,72.89
129127742,50.23
118522438,47.07
96032509,118.16
109801372,118.16
124226141,118.16
20054877,59.08
67619016,118.16
124425814,118.16
86548056,59.08
120865429,118.16
93763262,118.16
126832415,86.43
134355392,29.54
124306868,99.76
102203518,23.54
59101795,21.84
57722317,29.23
107744252,29.54
65971956,29.54
107744229,29.54
127660233,29.54
102424540,29.54
79154777,24.38
102238933,41.83
128611010,33.78
127243127,24.44
119567301,29.54
129672994,118.16
83384604,118.16
86042860,123.88
72997015,98.90
45579746,29.54
131262918,48.00
127660625,118.16
117398870,118.16
101108302,1181.57
124979555,34.14
123632750,29.54
69225711,29.54
42926522,27.09
101776061,35.62
23080400,29.54
126232541,118.16
132400431,131.24
111519691,118.16
22196623,126.43
126377307,138.32
134875725,114.80
82353195,118.16
40884872,29.54
120458092,32.81
124803996,32.81
67828854,30.32
108045456,32.81
60353071,29.54
99868542,32.81
96845521,29.54
114197082,29.54
98433813,31.28
47199063,30.43
88454649,121.73
48414988,16.09
88218791,32.81
127762560,29.54
121920837,29.54
126053025,32.81
70738457,29.54
58155127,16.71
67092874,32.60
131263259,130.40
130211077,116.79
117923051,32.60
134176665,32.60
